predicao_modelo,indice_aproveitamento,surfista_nivel,mar_tipo,id_condicao
Avancado - Mar Pesado (Desafiador),Condicao Ok + Cheia,Avancado,Mar Pesado (Desafiador),1
Iniciante - Mar Calmo (Escola),Sem Surf (Muito Pequeno),Iniciante,Mar Calmo (Escola),2
Avancado - Mar Agitado (Performance),Condicao Top com Feriado,Avancado,Mar Agitado (Performance),3
Avancado - Mar Agitado (Choppy),Condicao Ok + Cheia,Avancado,Mar Agitado (Choppy),4
Avancado - Mar Agitado (Performance),DIA DE OURO (Top + Vazio),Avancado,Mar Agitado (Performance),5
Avancado - Mar Agitado (Choppy),Condicao Ok + Vazia,Avancado,Mar Agitado (Choppy),6
Iniciante - Mar Calmo (Regular),Condicao Ok + Vazia,Iniciante,Mar Calmo (Regular),7
Avancado - Mar Pesado (Desafiador),Condicao Ok + Vazia,Avancado,Mar Pesado (Desafiador),8
Iniciante - Mar Calmo (Glassy),DIA DE OURO (Top + Vazio),Iniciante,Mar Calmo (Glassy),9
Iniciante - Mar Calmo (Glassy),Condicao Top com Feriado,Iniciante,Mar Calmo (Glassy),10
Iniciante - Mar Calmo (Regular),Condicao Ok + Cheia,Iniciante,Mar Calmo (Regular),11
